,texts,dates,titles
1,"
                    
                        Delivering more environmentally sustainable care.
                    

A programme to reduce the carbon footprint of NHS Scotland and enable more environmentally sustainable care has been launched.
The National Green Theatres Programme, developed by clinicians, will cut the high emissions and waste typically generated in surgery while maintaining the highest levels of patient safety and quality of care.
The first set ofÂ actions will help NHS Scotland meet its net zero target by 2040 and reduce carbon emissions by 7,100 tonnes of carbon dioxide, the equivalent 4,400 single passenger returnÂ flights from Glasgow to New York.
The programme features a number of measures, all of which can be made without impacting patient safety or standards of care, including:
removing anaesthetic gases from the supply chain
moving away from single use instruments/consumables
introducing waste segregation
switching from pre-operative intravenous to oral paracetamol
The programme is being rolled out across the country following a successful pilot in NHS Highland.
Visiting the green theatre at Raigmore Hospital, Inverness, Minister for Social Care, Mental Wellbeing and Sport Maree Todd said:
â€œThe roll out of the Green Theatres Programme is a very positive step in the right direction to making our NHS net zero by 2040.
â€œOur incredible NHS staff have worked tirelessly to develop a model that not only puts patients and their safety first, but will reduce our environmental impact.â€
Dr Kenneth Barker, CfSD Clinical Lead for the National Green Theatres Programme said:
â€œOur patients always comes first but itâ€™s great that we are now making clinically safe patient care decisions with sustainability in mind.
â€œTheatres are high carbon and energy intensive areas that produce high volumes of waste, so reducing their environmental impact will make a positive difference toward achieving Scotland's net zero targets.
â€œWe are working with our National Green Theatres Specialty Delivery Group and national partners to support Boards to implement these actions and are developing a Green Map to monitor progress.â€            ",5/26/2023,Bringing down the carbon footprint in the NHS
2,"
                    
                        Plan to grow economy, target spending and deliver progressive tax system.
                    

Economic growth, progressive taxation and spending plans that unapologetically target those in greatest need are at the heart of a financial strategy announced by Deputy First Minister Shona Robison.
The Medium-Term Financial Strategy outlines the approach to ensuring Scotlandâ€™s finances are on a sustainable footing and delivering high-quality public services in the face of high inflation. This includes:
growing the economy, including by delivering on ambitious commitments on childcare, seizing opportunities in areas where Scotland has a competitive advantage and supporting entrepreneurs, start-ups and scale-ups
taking tough decisions around spending, focusing on what is needed to achieve the missions of equality, opportunity and community
updating the tax strategy, with a new advisory group to be established this summer and chaired by the Deputy First Minister
The strategy details the tough choices required in challenging financial circumstances. Scottish Government estimates indicate that due to inflation, pay increases and the lack of further funding from the UK Government, current resource spending requirements could exceed funding by Â£1 billion in the next financial year, and by Â£1.9 billion in 2027-28. The gap between capital spending commitments and funding could rise to 16% in 2025-26.
Ms Robison said:
â€œWe are steadfast in our commitment to tackling poverty, building a fair, green and growing economy, and improving our public services to make them fit for the needs of future generations. But we must recognise that our current financial situation is among the most challenging since devolution, driven by the Covid pandemic, the war in Ukraine and the recent period of high inflation.
â€œOur funding remains largely based on decisions made by the UK Government, but they have failed to take the steps required to inflation-proof our budgets, and their decisions from Brexit to the disastrous mini-budget have made matters worse. This is creating substantial pressure on our public services, which we have no choice but to address.
â€œToday I have outlined our strategy for managing these challenges, doing all we can within our powers to ensure public finances are on a sustainable path. We will have a laser-like focus on spending, ensuring it targets equality, opportunity and community. We will generate economic growth, supporting businesses to invest and create new jobs while increasing tax revenues to invest in better public services. And we will continue to build the most progressive tax system in the UK, ensuring the burden of taxation is placed on those with the broadest shoulders.
â€œThere can be no escaping the difficult choices ahead, but by following the plan outlined today we can provide a more prosperous and fairer future for the people of Scotland.â€
Background
The Deputy First Minister's statement to the Scottish Parliament
The updated tax strategy will be published alongside the 2024 Medium-Term Financial Strategy.            ",5/25/2023,Financial strategy published
3,"
                    
                        Councils empowered to raise money for local tourism.
                    

A Bill to enable councils to invest more in local tourism facilities and services through a levy on overnight stays has been published.
If passed by the Scottish Parliament, the Visitor Levy (Scotland) Bill will give councils the power to apply a levy on stays in overnight accommodation based on a percentage of the accommodation cost.
All money raised would have to be reinvested locally on facilities and services substantially for or used by visitors, enhancing the tourist experience and benefitting local communities and their economies.
Under the plans, councils would be required to consult communities, businesses and tourism organisations before putting a visitor levy in place. They would also have to consult on how any revenue raised should be spent.
The proposals follow public consultation and form part of the New Deal for Local Government which gives councils greater financial flexibility and strengthens local democracy.
The Scottish Government has also invited representatives from the tourism industry, COSLA and other partners to join an expert group to consider how it could best be implemented if passed.
Public Finance Minister Tom Arthur said:
â€œScotland is already a very popular tourist destination and the domestic and international visitors we welcome every year have a significant and positive impact on the Scottish economy. Giving councils the power to introduce a visitor levy is one tool that will provide additional resources to continue to attract visitors to Scotland.
â€œLevies on visitors staying in paid-for accommodation are already used around the world and it is reasonable for local areas to want a small contribution from tourists to help support and sustain visitor economies.
â€œThere have been significant contributions to the Bill so far from the tourism industry, COSLA and other partners and I look forward to continuing to work with them as it progresses through Parliament.â€
COSLA Resources Spokesperson Councillor Katie Hagmann said:
â€œCOSLA welcomes the Scottish Governmentâ€™s move to give councils the power to apply a visitor levy. This represents a key step towards reaching COSLAâ€™s long-standing goal of a moreÂ empowered Scottish local government.
â€œCOSLA has consistently called for the ability of councils to set and raise taxes based on what is needed and decided locally. By providing each local authority with the power to set a rate charged to visitors, and to do so independently of the Scottish Government, the Local Visitor Levy empowers local decision-making, with councils able to respond to the needs of their area and the people who live there.
â€œCOSLA is well aware that Scotlandâ€™s councils and communities have a great diversity of needs - what works for one council will not necessarily be suitable for another.Â We welcome the flexibility offered by this legislation, and will consider if there are opportunities for it to go further. We are looking forward to seeing further investment both in tourism and our communities in the future.â€
Background
The Visitor Levy (Scotland) Bill
The Bill, if passed, will give a local authority the power to introduce a visitor levy in its area, if it wished to do so. The levy would be a percentage of the overnight accommodation cost with the rate set by the local council. Councils would be able to apply a visitor levy in all or parts of their area. The levy would be collected by the accommodation providers and remitted to the relevant local authority on a regular basis (the default being quarterly). It applies to almost all types of overnight accommodation within the area where a visitor levy is being applied, including hotels, self-catering accommodation, and campsites.
Taxes on overnight tourist stays are common across Europe and in other locations around the world. As of 2023, 21 out of the 27 EU member states charge occupancy taxes. Some cities and regions (such as Berlin) use the levy as a way to increase general revenues while others (such as Nice and the Balearic Islands) ring-fence all or part of the revenues to fund specific projects.
Analysis of responses to the Scottish Governmentâ€™s consultation on the principles of a local visitor levy.
The expert advisory group, facilitated by VisitScotland, will bring together tourism industry bodes and local government to discuss how best any visitor levy can be implemented and to develop national guidance for local authorities.            ",5/25/2023,Visitor levy legislation introduced
4,"
                    
                        Minister responds to major report on redesigning the childrenâ€™s hearings system.
                    

Minister for Keeping the Promise Natalie Don has welcomed a landmark independent report that sets out more than 100 recommendations for transforming Scotlandâ€™s unique childrenâ€™s hearings system.
â€˜Hearings for Childrenâ€™ has been developed following a 20-month review of the childrenâ€™s hearings system, and how it can be reformed to better support children needing care and protection. The work has been led by Sheriff David Mackie, the Promise Scotland and the Hearings System Working Group (HSWG) and follows on from the publication of the Independent Care Review (The Promise), which recommended a review and redesign of the childrenâ€™s hearings system.
The Scottish Government will now take the time necessary to carefully consider the proposals contained within the report before responding later in the year.
Speaking at the launch of the report, Minister for Keeping the Promise Natalie Don said:
â€œThe Childrenâ€™s Hearings System is unique to Scotland and for over 50 years, the dedication and commitment of those working within it has been outstanding. However, the Promise is clear that the system needs to change, as childrenâ€™s experiences in the system havenâ€™t always reflected that investment of care and skill.
â€œI am very grateful to Sheriff Mackie, the Promise Scotland and the wider Hearings System Working Group for this crucial report. It has clearly been developed with care and we must apply the same levels of care and diligence when considering our response. The Scottish Government will now move forward with a programme of transformational change founded on this report. Weâ€™ll reflect on the legal, financial and workforce implications of these proposals before responding more fully later in the year. We will work closely with all partners, including those in the responsible agencies such as COSLA and Social Work Scotland to deliver wholesale positive change.
â€œWhere early positive change is possible, I am clear that should happen quickly. The changes that need new law or new structures will take time, but I want to assure children, families and those that work in the system that there will be opportunities to contribute, and to shape future reforms. Children, young people and the care-experienced community â€“ along with volunteers and professionals â€“ want to see this work yielding positive, sustainable change. I am determined that we will deliver that for them.â€
Background 
The HSWG was set up by the Promise Scotland in the summer of 2021 to Keep the Promise with regard to the redesign of the current childrenâ€™s hearings system. It is a partnership between Childrenâ€™s Hearings Scotland, Scottish Childrenâ€™s Reporters Administration and The Promise Scotland and is independent of the Scottish Government.
The Promise is the outcome of the Independent Care Review and was published in 2020. The Scottish Government signed up to all of the conclusions set out in the review and set out the actions we would take in The Promise Implementation Plan published in March 2022. Â This included a commitment to a review of the childrenâ€™s hearings system.            ",5/25/2023,Keeping the Promise
5,"
                    
                        Beekeepers within 3km of affected hive encouraged to increase biosecurity.
                    

An outbreak of American Foulbrood (AFB) has been found in a single hive near Bridge of Earn, Perthshire.
The infected hive was detected by the beekeeper, with the disease being confirmed by SASA on 24 May 2023. This is the first finding of AFB in Scotland this year.
AFB is a notifiable disease that affects colonies of honeybees, and unfortunately there is no permitted treatment for the disease in the UK.
Beekeepers within 3km from the affected colony will be alerted via BeeBase and encouraged to increase their biosecurity.
Chief Veterinary Officer for Scotland Sheila Voas said:
â€œThe finding of AFB is a timely reminder that beekeepers should remain vigilant for signs of the disease at all times. There are no risks to public health and no implications for the quality and safety of Scottish honey.
â€œThe movement of bees and related equipment into, or out of, the affected apiary will be under specific controls supervised by Scottish Government Bee Inspectors and will include enhanced biosecurity measures and increased vigilance in the area. Â 
â€œBeekeepers should make sure they are aware of the symptoms of AFB and report suspicion of disease to the Scottish Government Bee Health Team. I would also encourage Scottish beekeepers to register on BeeBase so that they can be informed of any disease outbreaks in their area.â€
Background
AFB is a notifiable disease under The Bee Diseases and Pests Control (Scotland) Order 2007 (as amended).
Read the guidance on Honey bee health.
In 2022 there were 10 honey bee colonies confirmed positive for AFB in Scotland, in seven different apiaries and belonging to six different beekeepers. Disease trends of the disease through the years are publicly available in BeeBase.            ",5/24/2023,American Foulbrood found in Perthshire beehive
6,"
                    
                        Education Secretary announces summit.
                    

A summit focused on tackling violence in schools will be convened by Education Secretary Jenny Gilruth in the coming weeks.
It will bring together young people, parents and carers, schools, local authorities and unions to discuss how to tackle the problem. This will build on guidance provided to local authorities and on the Â£2 million of funding to support violence prevention activities within schools and communities.
Education Scotland will also work with every local authority to identify good practice in behaviour and relationships, sharing the findings with schools across the country.
Speaking during a debate in Parliament, Ms Gilruth said:
â€œI have been in post for two months now, and during that time I have made it absolutely clear that behaviour in schools is one of my top priorities. Children and young people must have every opportunity for successful learning that is unhindered by disruptive behaviour. I also want to make sure that teachers and school staff are working in a safe, welcoming and supportive environment.
â€œAny form of violence in our schools is completely unacceptable. No teacher or pupil should suffer verbal or physical abuse, and parents should be able to send their children to school knowing that they are safe.
â€œTo that end, Iâ€™m looking forward to bringing together young people, parents and carers, schools, local authorities, unions, and campaigners to identify how we tackle the problem of violence and disruption in our schools.â€
BACKGROUND
The Scottish Government has issued guidance for teaching staff which focuses on supporting positive behaviour and includes advice on prevention and de-escalation of incidents.
The Scottish Government is also in the process of updating national anti-bullying guidance.
Evidence is also being gathered to help better understand the extent of violence and behaviour at national level through the Behaviour in Scottish Schools Research. This research will report by the end of this year.            ",5/24/2023,Behaviour in schools
7,"
                    
                        Youth music programme funding confirmed.
                    

Culture Secretary Angus Robertson has confirmed Â£9.5 million funding for Scotlandâ€™s flagship Youth Music Initiative (YMI) this year. This includes Â£500,000 which has been ringfenced to deliver on the commitment to expand the YMI model into other art forms.
YMI funding enables schools and other organisations to provide quality music-making activities for children and young people, which range from after-school drum bands to courses in sound production.
More than 362,000 children and young people took part in YMI-funded projects under the 2021-22 programme, the majority of those in high-deprivation areas. The funding also supported 1,182 music education posts across all of Scotlandâ€™s 32 local authorities.
Mr Robertson marked the funding award with a visit to Murrayburn Primary School in Sighthill, Edinburgh, where he met pupils who have benefitted from the programme, which is administered by Creative Scotland.
The Culture Secretary said:
â€œMusic plays a vitally important role in young peopleâ€™s lives, and beyond developing their wider skills and learning we know these kinds of activities also have a huge positive impact on their confidence and wellbeing.
â€œWe are committed to ensuring every school pupil in Scotland can access a year of free music tuition by the time they leave primary school through the YMI, no matter their background. YMI is focused on creating opportunities for groups of children and young people who may not otherwise have the chance to participate in cultural activity.
â€œThis yearâ€™s funding takes our investment in this programme to more than Â£150 million since 2007, to enable free music tuition for hundreds of thousands of young people, and support thousands of music sector jobs across the country.â€
Morag Macdonald, YMI Manager said:
â€œWith ongoing support from the Scottish Government, the YMI allows local authorities to deliver programmes like this across Scotland ensuring that children and young people with additional support needs have opportunities to experience the joy and excitement that comes with making music.â€
Background
Youth Music Initiative | Creative Scotland            ",5/24/2023,Â£9.5 million to support young musicians
8,"
                    
                        Public to help shape plans for a National Care Service.
                    

People across Scotland are being invited to have a say on how a new National Care Service should work.
A programme of meetings will take place over the summer, stretching from Dumfries and Galloway to Shetland. There will also be online meetings for anyone who would prefer to join discussions remotely.
During a visit to the Allied Health Professionals in Bonnyrigg, which includes the 14 health professions that make up the third largest workforce in the NHS Scotland, Social Care Minister Maree Todd spoke with staff about what they want to see from the co-design of the new national approach.
Details for all events are now available on the online booking page. The first event will take place in Stirling on 20 June.
Ms Todd said:
â€œThere are unique demands across the country, which is why weâ€™re going to different areas, ensuring communities the length and breadth of Scotland are represented in designing a National Care Service tailored to local needs.
â€œHaving listened to care providers, unions and the third sector during the Bill scrutiny process, these meetings will allow anyone who uses care services, has a loved one that relies on care or has worked in the sector to have their say. This will help inform future stages of the Bill as it progresses through the Parliamentary process.Â 
â€œThere is general agreement that social care transformation will be of great benefit. This needs us all to have a shared understanding of what is working well and really focus on whatâ€™s needed to support people to thrive with the most suitable care for them. I would encourage everyone to be part of this conversation. To do this you can look to attend an event near you or join online, and be part of what will be the biggest social reform of our lifetimes.â€
Alison Keir, Chair of the Allied Health Professions Federation Scotland said:
â€œRehabilitation is central to improving health and social care services in Scotland. Rehabilitation services are vital to people recovering from injury or supported through illness. When people get the rehabilitative care they need, they can be discharged from hospital sooner. Then they will need less health and social care, avoid being readmitted to hospital, and be able to regain their quality of life and their role as active citizens in Scotland.
â€œAllied Health Professionals, such as occupational therapists and physiotherapists, are experts in delivering rehabilitation. It is vital we improve community provision. We will fully engage with the national care service process to ensure we have the right services and systems in place.â€
Background
To register online:
20 June - Albert Halls, Stirling
28 June - William Quarrier Conference Centre, Glasgow
14 July - Hilltown Community Centre, Dundee
18 July - Stranraer Millennium Centre, Dumfries and Galloway
26 July - The Corran Hall, Oban
1 August - An CrÃ¹bh Community Centre, Skye
8 August - Strathpeffer Community Centre, Highland
17 August - Isleburgh Community Centre, Shetland
22 August - The Inkwell, Elgin
24 August â€“ National online event
29 August â€“ National online event
",5/23/2023,National Care Service
9,"
                    
                        Increase totals 14.5% over two years.
                    

Junior doctors across Scotland have been offered a 14.5% pay uplift over the two year period 2022-24, following negotiations with BMA Scotland.
This represents a Â£61.3 million investment in junior doctor pay - the largest in the last 20 years and the best offer in the UK.
If accepted, the new and final offer will be a pay raise of 6.5% in 2023/24, as well as an additional 3% towards an already agreed 4.5% uplift in 2022/23. This amounts to a cumulative increase of 14.5% over two years and matches the recent pay award accepted by nurses and other NHS workers in 2023.Â 
This offer means a doctor at the beginning of their career would receive a total salary increase of Â£3,834 over two years. For those at the end of their training the rise would be Â£7,951 over the same period.Â 
Health Secretary Michael Matheson said:
â€œAfter weeks of intense negotiations Iâ€™m delighted our government and BMA Scotland have come to an agreement on pay which they will now put to their members.
â€œRecognising the incredible work that junior doctors do, we have offered a fair and progressive rise which will mean a pay increase of 14.5% over two years - the best offer on the table in the UK.
â€œWe have taken their concerns regarding pay, and the need to modernise pay bargaining more broadly, extremely seriously. Itâ€™s now up to junior doctors to reflect on this final offer, and I hope they will accept.â€            ",5/22/2023,New pay offer for junior doctors
10,"
                    
                        Rural Affairs Secretary writes to Prime Minister.
                    

The Rural Affairs Secretary Mairi Gougeon has written to the Prime Minister calling for detail of the announcements made by the UK Government this week. Ms Gougeon writes:
""It is vital...that we receive some more information about any funding announcements described in your letter this week to enable us to gauge the sufficiency, extent and implications of those announcements for the sector and to understand how these apply to Scottish agri-food producers and those of the other devolved governments.""Â 
The full text of the letter is below.
Rt Hon Rishi Sunak MPPrime MinisterCC: Rt Hon Therese Coffey MP
19 May 2023
Dear Rishi,
UK GOVERNMENT PUBLIC LETTER TO BRITISH FARMERS AND FUNDING ANNOUNCEMENTS
I am writing about the announcements made, including funding announcements, in your public letter to farmers earlier this week, and following your Governmentâ€™s recent Farm to Fork summit.Â 
It is pleasing to see the UK Government now recognising the growing importance of, and shifts in attitude to, overall food security in this country but it is also important to acknowledge that this follows a series of significant shocks to the food and drink sector, from COVID-19 and Brexit.Â  Those shocks have undoubtedly disrupted supply chains and created new barriers to trade.
As was confirmed by the Scottish Parliamentary debate on food security on 18th May, as much as we do to make food supply more sustainable and secure at all levels in Scotland, we do that with only a fraction of the powers, levers and funding that we need.Â I have written to UK Defra Ministers repeatedly about the range of issues impacting on the sector and to highlight to them the report of the Short-life Food Security and Supply Taskforce that the Scottish Government established together with industry about food security in March last year, in the immediate wake of the conflict in Ukraine.Â  While the Taskforce recognised that the UK Government holds many of the levers to help sort many of the issues impacting on the sector, we have not received any meaningful engagement with UK Ministers about this so far.Â  The rapid response by the Scottish Government in establishing the taskforce, and subsequently establishing a food security unit within the Scottish Government, has been important.Â  It is disappointing that the focus your Government seems to be giving to this issue now, however laudable, has not been in more evidence, sooner.Â 
In my view, it is extremely important and incumbent on us to work together constructively and in line with our Inter-Governmental relationship principles on these issues, to support the food and drink sector ably.Â  It is vital, for example, that we receive some more information about any funding announcements described in your letter this week to enable us to gauge the sufficiency, extent and implications of those announcements for the sector and to understand how these apply to Scottish agri-food producers and those of the other devolved governments.Â  A key question, for example, is whether this is new money as Scotland would clearly want to see its fair share if it is.Â  Also,Â without that further information, and while any supports are welcome, I am not convinced these announcements will go far enough to mitigate the ongoing short- and long-term significant effects on the sector, including from labour and skills shortages and high input, including energy costs. While I am disappointed that Scottish Ministers were not invited to the Summit, I am ever the optimist and hope this is the start of a process that we can build on, with the full involvement of the devolved administrations, industry and other relevant parties.
I also note the principles described in your letter about future trade negotiations.Â  ScottishÂ Ministers of course recognise that trade has an important role to play in food supply, including economically, but again, we have repeatedly made clear (and in line with Scotlandâ€™s Vision for Trade) that these trade deals must be negotiated in a way that balances market access with protection of domestic producers.Â  Scottish Ministers made those points to the UK Government repeatedly throughout the negotiation of the UK-Australia and New Zealand Trade Deals. The announcement of a set of principles now (and while on the face of it those appear to be a positive development) seem to come a little too late in the day and also provide further confirmation that those earlier trade deals were poorly negotiated by the UK Government.Â  While we will wait to see the effect of these new principles in the negotiation of future arrangements, it is imperative that UK Ministers work together with, and actively listen to, Ministers from the devolved governments and industry to ensure that our agri-food producers across the whole of the UK Â are better protected going forward. Â  Â 
As many of these issues have a significant effect on Scotlandâ€™s economy and devolved matters, I believe that it is vital that Scottish Ministers are able to discuss the detail of the announcements made this week and in your open letter to farmers, with UK Ministers and as a priority, including at our next EFRA portfolio Inter-Ministerial Group meeting.Â 
I am copying this letter to Richard Lochhead MSP, Minister for Small Business, Innovation and Trade; Vaughan Gething, Minister for the Economy; Lesley Griffiths, Minister for Rural Affairs and North Wales and Trefnydd in the Welsh Government; and to the Head of the Northern Ireland Civil Service.
MAIRI GOUGEON            ",5/19/2023,Scottish Ministers call for meaningful engagement from UK Government on issues of food security
